what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1618983962218
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1618984012351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984016576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984018884
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1618984021018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984021163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984022976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984024868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984026968
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1618984027624
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1618984027916
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1618984033741
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984038766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984046680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1618984054922
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984057703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1618984060724
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984077211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984078661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984081363
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984081405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1618984085602
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984087131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1618984089153
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1618984108914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984112294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984113691
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1618984118913
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984123500
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1618984178266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984195827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984209016
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984210558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1618984211605
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1618984214434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984218066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984220148
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984224708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1618984227154
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1618984230130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984233523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984235779
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1618984239368
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984239559
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1618984240654
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984240874
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1618984241106
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984251210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1618984259544
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1618984262128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984265903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984269450
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1618984271575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984271728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984273750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984277569
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1618984277687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984277996
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1618984278004
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1618984283749
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1618984315386
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1618984319016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984324323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984326396
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1618984326788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984326919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1618984328799
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1618984332221
